constituency,state,lat,lng,status
DHARWAD,Karnataka,15.4589,75.0078,dict
ARARIA,Bihar,26.1471,87.4718,dict
BALURGHAT,West Bengal,25.229,88.774,dict
DAHOD(ST),Gujarat,22.8344,74.2558,dict
FARIDKOT(SC),Punjab,30.6727,74.7573,dict
KHARGONE(ST),Madhya Pradesh,21.8234,75.6133,dict
JHANJHARPUR,Bihar,26.2641,86.2795,dict
BUXAR,Bihar,25.5649,83.9747,dict
PATHANAMTHITTA,Kerala,9.2647,76.787,dict
KOLLAM,Kerala,8.8932,76.6141,dict
TENKASI(SC),Tamil Nadu,9.437987,77.633576,nominatim
SONEPAT,Haryana,28.989541,77.151039,nominatim
JOYNAGAR(SC),West Bengal,22.176,88.4285,dict
PALI,Rajasthan,25.771,73.3234,dict
ROHTAK,Haryana,28.8955,76.6066,dict
BOLPUR(SC),West Bengal,23.669,87.704,dict
ALWAR,Rajasthan,27.5574,76.6346,dict
JANJGIR CHAMPA(SC),Chhattisgarh,22.0158,82.5735,dict
TIRUVANNAMALAI,Tamil Nadu,12.2253,79.0747,dict
PURVI CHAMPARAN,Bihar,,,failed
CHITTOOR,Andhra Pradesh,13.2172,79.0998,dict
PARBHANI,Maharashtra,19.290198,76.602644,nominatim
SHAHJAHANPUR(SC),Uttar Pradesh,27.8833,79.9057,dict
COOCHBEHAR(SC),West Bengal,26.340623,89.481216,nominatim
FIROZPUR,Punjab,30.9252,74.613,dict
BASIRHAT,West Bengal,22.6579,88.8937,dict
KUSHI NAGAR,Uttar Pradesh,,,failed
GURGAON,Haryana,28.4595,77.0266,dict
RAIPUR,Chhattisgarh,21.2514,81.6296,dict
DARJEELING,West Bengal,27.036,88.2627,dict
VIRUDHUNAGAR,Tamil Nadu,9.5855,77.9626,dict
KALAHANDI,Odisha,19.9099,83.164,dict
KADAPA,Andhra Pradesh,14.4674,78.8241,dict
ERNAKULAM,Kerala,9.9816,76.2999,dict
GAUTAM BUDDHA NAGAR,Uttar Pradesh,28.5355,77.391,dict
