locality,constituency,state,lat,lng,status
Navalgund TQ Belavatagi,DHARWAD,Karnataka,15.437442,75.018658,locality_curated
Neerlgudda village Shiggava,DHARWAD,Karnataka,15.44311,75.01579,locality_curated
Kundagol,DHARWAD,Karnataka,15.466152,74.979721,locality_curated
Uppinbetageri,DHARWAD,Karnataka,15.443746,75.013522,locality_curated
Shibargatti,DHARWAD,Karnataka,15.47557,74.991672,locality_curated
Hosategur,DHARWAD,Karnataka,15.428745,75.010537,locality_curated
Kardigudda,DHARWAD,Karnataka,15.447316,75.021627,locality_curated
Tadakod,DHARWAD,Karnataka,15.485147,75.001513,locality_curated
Mulmuttal,DHARWAD,Karnataka,15.451633,75.023258,locality_curated
Nigadi,DHARWAD,Karnataka,15.467524,74.98672,locality_curated
Parsapur,DHARWAD,Karnataka,15.4589,74.977702,locality_curated
Chabbi,DHARWAD,Karnataka,15.449303,75.028215,locality_curated
Ayahatti,DHARWAD,Karnataka,15.443698,74.996756,locality_curated
rayan,DAHOD(ST),Gujarat,22.823133,74.236236,locality_curated
Morani,KHARGONE(ST),Madhya Pradesh,21.822159,75.628575,locality_curated
ShriRam,KHARGONE(ST),Madhya Pradesh,21.837916,75.603529,locality_curated
Khatu Shyam,KHARGONE(ST),Madhya Pradesh,21.799751,75.596757,locality_curated
Koli,KHARGONE(ST),Madhya Pradesh,21.827061,75.593009,locality_curated
Mahuwar,BUXAR,Bihar,25.577801,83.968031,locality_curated
Erumely Grama,PATHANAMTHITTA,Kerala,9.24962,76.761571,locality_curated
Grama,PATHANAMTHITTA,Kerala,9.281198,76.766357,locality_curated
Mundakkayam Grama,PATHANAMTHITTA,Kerala,9.274892,76.81256,locality_curated
Mundakayam Grama,PATHANAMTHITTA,Kerala,9.24902,76.782143,locality_curated
Manimala Grama,PATHANAMTHITTA,Kerala,9.253292,76.800775,locality_curated
Parathodu Grama,PATHANAMTHITTA,Kerala,9.248538,76.775534,locality_curated
Teekoy Grama,PATHANAMTHITTA,Kerala,9.258591,76.808585,locality_curated
Thidanadu Grama,PATHANAMTHITTA,Kerala,9.26786,76.764221,locality_curated
Thekkekara Grama,PATHANAMTHITTA,Kerala,9.261437,76.77268,locality_curated
Poonjar Grama,PATHANAMTHITTA,Kerala,9.243162,76.780328,locality_curated
Kulathupuzha Grama,KOLLAM,Kerala,8.9065347,77.0564917,nominatim
Panayam Grama,KOLLAM,Kerala,8.867443,76.616381,locality_curated
Panmana Grama,KOLLAM,Kerala,8.870193,76.612472,locality_curated
Nainaragaram,TENKASI(SC),Tamil Nadu,9.44671,77.648293,locality_curated
Sernthamangalam,TENKASI(SC),Tamil Nadu,9.462522,77.614834,locality_curated
Land,SONEPAT,Haryana,29.000559,77.180714,locality_curated
Lakshminarayanpur High,JOYNAGAR(SC),West Bengal,22.148459,88.424848,locality_curated
Bansra Gram,JOYNAGAR(SC),West Bengal,22.147217,88.439813,locality_curated
II Gram,JOYNAGAR(SC),West Bengal,22.149484,88.433035,locality_curated
Daria Gram,JOYNAGAR(SC),West Bengal,22.183642,88.405828,locality_curated
Dighirpar Gram,JOYNAGAR(SC),West Bengal,22.152311,88.433011,locality_curated
Chimni,ROHTAK,Haryana,28.916478,76.605763,locality_curated
Meena,ALWAR,Rajasthan,27.56821,76.607214,locality_curated
Vadasserikkara Grama,PATHANAMTHITTA,Kerala,9.275268,76.798482,locality_curated
Enadimangalam Grama,PATHANAMTHITTA,Kerala,9.26717,76.804807,locality_curated
Seethathodu Grama,PATHANAMTHITTA,Kerala,9.254249,76.797966,locality_curated
Gram,JANJGIR CHAMPA(SC),Chhattisgarh,22.020667,82.591809,locality_curated
Melkaripur,TIRUVANNAMALAI,Tamil Nadu,12.2253,79.052484,locality_curated
Sathanoor,TIRUVANNAMALAI,Tamil Nadu,12.233861,79.058898,locality_curated
Devanampattu,TIRUVANNAMALAI,Tamil Nadu,12.241063,79.074982,locality_curated
Sorpanandal,TIRUVANNAMALAI,Tamil Nadu,12.245521,79.076147,locality_curated
Nachipattu,TIRUVANNAMALAI,Tamil Nadu,12.205207,79.061853,locality_curated
Kayampattu,TIRUVANNAMALAI,Tamil Nadu,12.228945,79.053548,locality_curated
Madhavaram,CHITTOOR,Andhra Pradesh,13.210268,79.077885,locality_curated
Puliyur in Nellivasalnadu,TIRUVANNAMALAI,Tamil Nadu,12.224357,79.056289,locality_curated
Perumpalli in Pungampattunadu,TIRUVANNAMALAI,Tamil Nadu,12.237982,79.059235,locality_curated
Shiv,ROHTAK,Haryana,28.878088,76.591614,locality_curated
Gorakh Nath,ROHTAK,Haryana,28.910057,76.597759,locality_curated
Purba Gurguria Nuraniya,JOYNAGAR(SC),West Bengal,22.199777,88.434902,locality_curated
Bamunerchak Dharmaraj,JOYNAGAR(SC),West Bengal,22.162888,88.42497,locality_curated
Paschim Jamtala Nimtala,JOYNAGAR(SC),West Bengal,22.197369,88.411111,locality_curated
Ambikanagar Kali,JOYNAGAR(SC),West Bengal,22.186267,88.457382,locality_curated
