work_id_a,work_id_b,similarity,state_a,state_b
WS/MP18067/2025-2026/134323,WS/MP18152/2024-2025/137620,0.914,Haryana,Punjab
WS/MP18067/2025-2026/134323,WS/MP18152/2024-2025/140065,0.912,Haryana,Punjab
WS/MP18067/2025-2026/134323,WS/MP18152/2024-2025/141166,0.912,Haryana,Punjab
WS/MP18067/2025-2026/134323,WS/MP18152/2024-2025/141167,0.912,Haryana,Punjab
WS/MP18067/2025-2026/134323,WS/MP18152/2024-2025/141168,0.912,Haryana,Punjab
WS/MP18067/2025-2026/134323,WS/MP18152/2024-2025/141169,0.912,Haryana,Punjab
WS/MP18067/2025-2026/134323,WS/MP18152/2024-2025/141170,0.912,Haryana,Punjab
WS/MP18067/2025-2026/134323,WS/MP18152/2024-2025/141171,0.912,Haryana,Punjab
WS/MP18067/2025-2026/134323,WS/MP18152/2024-2025/141172,0.912,Haryana,Punjab
WS/MP18067/2025-2026/134323,WS/MP18152/2024-2025/141173,0.912,Haryana,Punjab
WS/MP18067/2025-2026/134323,WS/MP18152/2024-2025/141174,0.912,Haryana,Punjab
WS/MP18067/2025-2026/134323,WS/MP18152/2024-2025/141175,0.912,Haryana,Punjab
WS/MP18067/2025-2026/134323,WS/MP18152/2024-2025/141176,0.912,Haryana,Punjab
WS/MP18067/2025-2026/134323,WS/MP18152/2024-2025/141177,0.912,Haryana,Punjab
WS/MP18067/2025-2026/134323,WS/MP18152/2024-2025/141178,0.912,Haryana,Punjab
WS/MP18067/2025-2026/134323,WS/MP18152/2024-2025/141179,0.912,Haryana,Punjab
WS/MP18067/2025-2026/134323,WS/MP18152/2024-2025/141180,0.912,Haryana,Punjab
WS/MP18067/2025-2026/134323,WS/MP18152/2024-2025/141181,0.912,Haryana,Punjab
WS/MP18067/2025-2026/134323,WS/MP18152/2024-2025/141182,0.912,Haryana,Punjab
WS/MP18067/2025-2026/134323,WS/MP18152/2025-2026/141185,0.854,Haryana,Punjab
WS/MP18067/2025-2026/134323,WS/MP18152/2024-2025/141193,0.912,Haryana,Punjab
WS/MP485/2024-2025/134330,WS/MP18236/2024-2025/138942,0.86,West Bengal,Uttar Pradesh
WS/MP18278/2024-2025/134631,WS/MP479/2024-2025/138334,1.0,Chhattisgarh,West Bengal
WS/MP826/2024-2025/135570,WS/MP334/2024-2025/139341,0.862,West Bengal,Jharkhand
WS/MP826/2025-2026/135684,WS/MP334/2024-2025/139490,0.859,West Bengal,Jharkhand
WS/MP826/2025-2026/135684,WS/MP334/2024-2025/139888,0.854,West Bengal,Jharkhand
WS/MP826/2025-2026/135684,WS/MP334/2024-2025/139891,0.855,West Bengal,Jharkhand
WS/MP826/2025-2026/135684,WS/MP334/2024-2025/139896,0.859,West Bengal,Jharkhand
WS/MP826/2025-2026/135684,WS/MP334/2024-2025/143402,0.852,West Bengal,Jharkhand
WS/MP826/2024-2025/135687,WS/MP334/2024-2025/139897,0.857,West Bengal,Jharkhand
WS/MP826/2024-2025/135687,WS/MP334/2024-2025/139916,0.851,West Bengal,Jharkhand
WS/MP826/2024-2025/135688,WS/MP334/2024-2025/139182,0.866,West Bengal,Jharkhand
WS/MP826/2024-2025/135688,WS/MP334/2024-2025/139215,0.86,West Bengal,Jharkhand
WS/MP826/2024-2025/135688,WS/MP334/2024-2025/139255,0.861,West Bengal,Jharkhand
WS/MP826/2024-2025/135688,WS/MP334/2024-2025/139369,0.85,West Bengal,Jharkhand
WS/MP826/2024-2025/135688,WS/MP334/2024-2025/139490,0.874,West Bengal,Jharkhand
WS/MP826/2024-2025/135688,WS/MP334/2024-2025/139491,0.859,West Bengal,Jharkhand
WS/MP826/2024-2025/135688,WS/MP334/2024-2025/139872,0.867,West Bengal,Jharkhand
WS/MP826/2024-2025/135688,WS/MP334/2024-2025/139873,0.869,West Bengal,Jharkhand
WS/MP826/2024-2025/135688,WS/MP334/2024-2025/139874,0.876,West Bengal,Jharkhand
WS/MP826/2024-2025/135688,WS/MP334/2024-2025/139875,0.859,West Bengal,Jharkhand
WS/MP826/2024-2025/135688,WS/MP334/2024-2025/139880,0.859,West Bengal,Jharkhand
WS/MP826/2024-2025/135688,WS/MP334/2024-2025/139888,0.889,West Bengal,Jharkhand
WS/MP826/2024-2025/135688,WS/MP334/2024-2025/139889,0.854,West Bengal,Jharkhand
WS/MP826/2024-2025/135688,WS/MP334/2024-2025/139891,0.862,West Bengal,Jharkhand
WS/MP826/2024-2025/135688,WS/MP334/2024-2025/139895,0.854,West Bengal,Jharkhand
WS/MP826/2024-2025/135688,WS/MP334/2024-2025/139896,0.889,West Bengal,Jharkhand
WS/MP826/2024-2025/135688,WS/MP334/2024-2025/139897,0.857,West Bengal,Jharkhand
WS/MP826/2024-2025/135688,WS/MP334/2024-2025/139903,0.86,West Bengal,Jharkhand
WS/MP826/2024-2025/135688,WS/MP334/2024-2025/139910,0.856,West Bengal,Jharkhand
