work_id,cost_risk_score,is_cost_outlier,cost_zscore,nlp_similarity_score,similar_project,similar_state,satellite_risk_score,satellite_status,risk_score_orphan,citizen_report_count,feedback_status
WS/MP334/2024-2025/139896,44.1,True,-1.1067715489040468,88.9,WS/MP826/2024-2025/135688,,,no_imagery,86.5,1,confirmed_issue
WS/MP334/2024-2025/139888,44.1,True,-1.1067715489040468,88.9,WS/MP826/2024-2025/135688,,,no_imagery,81.5,1,
WS/MP317/2024-2025/145098,88.6,True,7.140568492385734,94.2,WS/MP356/2024-2025/137864,,100.0,not_visible,75.0,1,false_positive
WS/MP317/2024-2025/145198,88.6,True,7.140568492385734,90.7,WS/MP356/2024-2025/137864,,100.0,not_visible,75.0,5,false_positive
WS/MP334/2024-2025/139897,44.1,True,-1.1067715489040468,88.3,WS/MP826/2024-2025/135690,,,no_imagery,66.2,0,
WS/MP334/2024-2025/139490,44.1,True,-1.1067715489040468,87.4,WS/MP826/2024-2025/135688,,,no_imagery,65.8,0,
WS/MP334/2024-2025/139874,44.1,True,-1.1067715489040468,87.6,WS/MP826/2024-2025/135688,,,no_imagery,65.8,0,
WS/MP334/2024-2025/139255,44.1,True,-1.1067715489040468,87.2,WS/MP826/2024-2025/135690,,,no_imagery,65.6,0,
WS/MP334/2024-2025/139873,44.1,True,-1.1067715489040468,86.9,WS/MP826/2024-2025/135688,,,no_imagery,65.5,0,
WS/MP334/2024-2025/139891,44.1,True,-1.1067715489040468,86.9,WS/MP826/2024-2025/135690,,,no_imagery,65.5,0,
WS/MP334/2024-2025/139895,44.1,True,-1.1067715489040468,86.9,WS/MP826/2024-2025/135690,,,no_imagery,65.5,0,
WS/MP334/2024-2025/139872,44.1,True,-1.1067715489040468,86.7,WS/MP826/2024-2025/135688,,,no_imagery,65.4,0,
WS/MP334/2024-2025/139903,44.1,True,-1.1067715489040468,86.8,WS/MP826/2024-2025/135690,,,no_imagery,65.4,0,
WS/MP334/2024-2025/139182,44.1,True,-1.1067715489040468,86.6,WS/MP826/2024-2025/135688,,,no_imagery,65.4,0,
WS/MP334/2024-2025/139916,44.1,True,-1.1067715489040468,86.5,WS/MP826/2024-2025/135690,,,no_imagery,65.3,0,
WS/MP334/2024-2025/139341,44.1,True,-1.1067715489040468,86.2,WS/MP826/2024-2025/135570,,,no_imagery,65.2,0,
WS/MP334/2024-2025/139910,44.1,True,-1.1067715489040468,86.1,WS/MP826/2024-2025/135690,,,no_imagery,65.1,0,
WS/MP334/2024-2025/139880,44.1,True,-1.1067715489040468,86.0,WS/MP826/2024-2025/135690,,,no_imagery,65.0,0,
WS/MP334/2024-2025/139287,44.1,True,-1.1067715489040468,85.8,WS/MP826/2024-2025/135690,,,no_imagery,65.0,0,
WS/MP334/2024-2025/139215,44.1,True,-1.1067715489040468,86.0,WS/MP826/2024-2025/135688,,,no_imagery,65.0,0,
WS/MP334/2024-2025/139909,44.1,True,-1.1067715489040468,85.9,WS/MP826/2024-2025/135690,,,no_imagery,65.0,0,
WS/MP334/2024-2025/139491,44.1,True,-1.1067715489040468,85.9,WS/MP826/2024-2025/135688,,,no_imagery,65.0,0,
WS/MP334/2024-2025/139875,44.1,True,-1.1067715489040468,85.9,WS/MP826/2024-2025/135688,,,no_imagery,65.0,0,
WS/MP334/2024-2025/139908,44.1,True,-1.1067715489040468,85.6,WS/MP826/2024-2025/135690,,,no_imagery,64.8,0,
WS/MP334/2024-2025/139889,44.1,True,-1.1067715489040468,85.4,WS/MP826/2024-2025/135688,,,no_imagery,64.8,0,
WS/MP334/2024-2025/139894,44.1,True,-1.1067715489040468,85.3,WS/MP826/2024-2025/135690,,,no_imagery,64.7,0,
WS/MP334/2024-2025/139369,44.1,True,-1.1067715489040468,85.0,WS/MP826/2024-2025/135688,,,no_imagery,64.6,0,
WS/MP334/2024-2025/139479,44.1,True,-1.1067715489040468,85.0,WS/MP826/2024-2025/135690,,,no_imagery,64.6,0,
WS/MP334/2024-2025/143407,41.8,True,-1.0415069714658183,85.7,WS/MP826/2024-2025/135688,,,no_imagery,63.8,0,
WS/MP465/2024-2025/137489,40.4,True,0.9914659318055216,85.5,WS/MP18172/2024-2025/141763,,,no_imagery,63.0,0,
WS/MP334/2024-2025/143402,38.0,True,-0.9762423940275898,88.0,WS/MP826/2024-2025/135688,,,no_imagery,63.0,0,
WS/MP334/2024-2025/143401,38.0,True,-0.9762423940275898,87.9,WS/MP826/2024-2025/135690,,,no_imagery,63.0,0,
WS/MP18391/2024-2025/140323,36.6,True,-0.22139470388280016,86.6,WS/MP18155/2024-2025/141711,,,no_imagery,61.6,0,
WS/MP334/2024-2025/143406,32.7,True,-0.9109778165893613,87.9,WS/MP826/2024-2025/135690,,,no_imagery,60.3,0,
WS/MP334/2024-2025/143391,32.7,True,-0.9109778165893613,87.6,WS/MP826/2024-2025/135688,,,no_imagery,60.2,0,
WS/MP334/2024-2025/143404,32.7,True,-0.9109778165893613,86.1,WS/MP826/2024-2025/135690,,,no_imagery,59.4,0,
WS/MP743/2025-2026/142093,31.2,True,0.525714001978504,85.3,WS/MP345/2024-2025/138113,,,no_imagery,58.2,0,
WS/MP334/2024-2025/143392,29.3,True,-0.8457132391511328,86.6,WS/MP826/2024-2025/135688,,,no_imagery,58.0,0,
WS/MP743/2024-2025/142091,29.3,True,0.44995380383082445,86.5,WS/MP345/2024-2025/138113,,,no_imagery,57.9,0,
WS/MP334/2024-2025/143364,29.3,True,-0.8457132391511328,86.0,WS/MP826/2024-2025/135690,,,no_imagery,57.6,0,
WS/MP18391/2024-2025/140318,28.5,True,-0.38969987228223407,86.6,WS/MP18155/2024-2025/141711,,,no_imagery,57.6,0,
WS/MP334/2024-2025/143384,29.3,True,-0.8457132391511328,85.6,WS/MP826/2024-2025/135688,,,no_imagery,57.4,0,
WS/MP465/2024-2025/137491,25.5,True,0.45274031982360946,87.9,WS/MP18172/2024-2025/141763,,,no_imagery,56.7,0,
